iter	RMSE
0	225448472.1
1	217230675.4
2	208938968.6
3	201235992.2
4	193699143.7
5	186533028.8
6	179835932
7	173166074.5
8	167113589.9
9	160800009.7
10	155267811.6
11	149701881.6
12	144108793.7
13	138971482.3
14	133883345.3
15	129490343.2
16	125024396.2
17	120823856.9
18	116833047.5
19	112877033
20	109204158.8
21	105456364
22	102249987.5
23	98834823.86
24	95679970.45
25	92587076.4
26	89477161.63
27	86422084.75
28	83532496.59
29	80916831.02
30	78487640.57
31	76035551.14
32	73698580.35
33	71482447.9
34	69469260.97
35	67353502.63
36	65337676.79
37	63583819.19
38	61799587.83
39	59936696.59
40	58210626.51
41	56625749.72
42	55000355.9
43	53437685.54
44	51871326.18
45	50576530.96
46	49243449.03
47	47984869.79
48	46764140.33
49	45641077.65
50	44509323.42
51	43313319.06
52	42291022.88
53	41390457.46
54	40408407.17
55	39559543.93
56	38611443.63
57	37781716.64
58	36901673.99
59	36119682.09
60	35317628.86
61	34509066.57
62	33729420.2
63	33079463.04
64	32365621.16
65	31694233.73
66	31017256.28
67	30346911.3
68	29854710.03
69	29331025.91
70	28741231.55
71	28188177.25
72	27684601.44
73	27363602.4
74	26847989.17
75	26369220.95
76	25981320.83
77	25470045.95
78	25022913.91
79	24608722.09
80	24262201.27
81	23965712.41
82	23521430.31
83	23129858.41
84	22783611.43
85	22430358.99
86	22159915.55
87	21808198.28
88	21554039.54
89	21178331.32
90	20815981.94
91	20520762.01
92	20183134.16
93	19978420.82
94	19725168.48
95	19524021.85
96	19333233.05
97	19121292.62
98	18919677.23
99	18684618.38
100	18442456.8
101	18243989.32
102	18061468.52
103	17888836.15
104	17680544.41
105	17484909.96
106	17238045.34
107	17075676.05
108	16895593.11
109	16704903.07
110	16478800.83
111	16370342.89
112	16240045.34
113	16045971.47
114	15912110.61
115	15779747.71
116	15638044.83
117	15498236.74
118	15351984.44
119	15204364.54
120	15054568.65
121	14914025.68
122	14778323.43
123	14685874.04
124	14569507.37
125	14458737.51
126	14362156.59
127	14252882
128	14124953.23
129	14017265.35
130	13923973.21
131	13839970.22
132	13775058.74
133	13686890.6
134	13617429.66
135	13546360.24
136	13448411.98
137	13416910.2
138	13347876.69
139	13266226.37
140	13160185.91
141	13063065.36
142	13022954.04
143	12953272.49
144	12920702.28
145	12861437.08
146	12769426.26
147	12710490.24
148	12619617.18
149	12518216.23
150	12441336.46
151	12345697.86
152	12276762.16
153	12222204.6
154	12168042.41
155	12124777.91
156	12074216.38
157	11979143.44
158	11919621.12
159	11857225.43
160	11778201.19
161	11724194.69
162	11652734.57
163	11609790.09
164	11564686.27
165	11491842.3
166	11396786.13
167	11346115.82
168	11292018.02
169	11230870.2
170	11193003.99
171	11158147.22
172	11077906.53
173	11029630.36
174	10968401.91
175	10923121.69
176	10891004.58
177	10850573.03
178	10802014.65
179	10751772.63
180	10707141.59
181	10678937.54
182	10621714.78
183	10598221.67
184	10540913.84
185	10504149.74
186	10448176.23
187	10411489.06
188	10363092.94
189	10334592.87
190	10300193.07
191	10270549.97
192	10235916.75
193	10213603.56
194	10176916.05
195	10140575.3
196	10096653.21
197	10043391.32
198	10003008.57
199	9968326.804
200	9920172.609
201	9886219.717
202	9852607.762
203	9820024.211
204	9785268.576
205	9760270.936
206	9737580.263
207	9705766.664
208	9666235.114
209	9646626.497
210	9580002.547
211	9543165.741
212	9511375.139
213	9477242.425
214	9431348.693
215	9396226.81
216	9364246.419
217	9328912.63
218	9304289.45
219	9262513.659
220	9239318.94
221	9215975.731
222	9175492.413
223	9141797.564
224	9104618.762
225	9077177.536
226	9038841.551
227	9006883.499
228	8989495.693
229	8946480.413
230	8914136.45
231	8881292.812
232	8856305.586
233	8835458.644
234	8800748.45
235	8784573.304
236	8751492.459
237	8723271.381
238	8690368.317
239	8647385.33
240	8618286.528
241	8597198.044
242	8563663.177
243	8532820.553
244	8488407.986
245	8463845.927
246	8442789.186
247	8427181.236
248	8404686.987
249	8368422.754
250	8340000.932
251	8324158.687
252	8292544.712
253	8269932.079
254	8239885.566
255	8205043.374
256	8163563.365
257	8134859.1
258	8106404.69
259	8080055.5
260	8055363.489
261	8022136.93
262	7988588.549
263	7952686.272
264	7927428.479
265	7901477.078
266	7878086.214
267	7859757.16
268	7844583.761
269	7822684.772
270	7805675.894
271	7783037.569
272	7754418.955
273	7726556.221
274	7702400.4
275	7677301.64
276	7656598.1
277	7636972.962
278	7620930.899
279	7597111.823
280	7575832.116
281	7555436.365
282	7530996.564
283	7516076.829
284	7494168.659
285	7475435.371
286	7449513.296
287	7418885.511
288	7395253.315
289	7375348.499
290	7355315.09
291	7347569.011
292	7330602.167
293	7317112.352
294	7302931.081
295	7285838.46
296	7266425.193
297	7241469.513
298	7219028.356
299	7199993.416
