iter	Passed	Remaining
0	0	298
1	2	344
2	3	363
3	4	360
4	6	386
5	7	384
6	9	385
7	10	378
8	11	379
9	12	375
10	14	370
11	15	367
12	16	360
13	16	345
14	18	359
15	20	361
16	21	363
17	23	361
18	24	360
19	24	349
20	26	354
21	27	345
22	27	336
23	28	327
24	29	320
25	29	313
26	30	306
27	30	300
28	31	294
29	32	288
30	33	293
31	34	291
32	35	287
33	36	283
34	36	278
35	37	274
36	38	273
37	39	272
38	40	270
39	41	267
40	41	263
41	42	260
42	43	257
43	43	254
44	44	250
45	44	247
46	45	244
47	46	241
48	46	239
49	47	236
50	47	233
51	48	230
52	48	228
53	49	226
54	50	224
55	50	221
56	51	219
57	52	217
58	52	215
59	53	213
60	54	211
61	54	209
62	55	208
63	56	206
64	56	205
65	57	203
66	58	203
67	58	201
68	59	199
69	60	197
70	60	195
71	61	194
72	61	192
73	62	190
74	62	188
75	63	186
76	64	186
77	65	185
78	66	185
79	67	185
80	68	184
81	69	184
82	70	183
83	71	183
84	72	183
85	72	181
86	74	182
87	75	180
88	75	179
89	76	179
90	77	178
91	78	177
92	78	175
93	79	174
94	80	172
95	80	171
96	81	169
97	81	168
98	82	167
99	82	165
100	83	164
101	84	163
102	84	162
103	86	163
104	87	162
105	87	160
106	88	159
107	89	158
108	89	157
109	90	156
110	91	155
111	91	153
112	92	152
113	92	151
114	93	150
115	93	149
116	94	147
117	95	146
118	95	145
119	96	144
120	96	143
121	97	142
122	98	141
123	99	140
124	99	139
125	100	138
126	101	138
127	102	137
128	102	136
129	103	135
130	104	134
131	104	133
132	105	132
133	105	131
134	106	130
135	107	129
136	107	128
137	108	127
138	108	125
139	109	124
140	109	123
141	110	122
142	111	121
143	111	120
144	112	119
145	112	119
146	113	118
147	114	117
148	114	116
149	115	115
150	116	114
151	117	114
152	117	113
153	118	112
154	119	111
155	119	110
156	120	109
157	120	108
158	121	107
159	122	106
160	122	106
161	123	105
162	124	104
163	124	103
164	125	102
165	126	102
166	127	101
167	127	100
168	128	99
169	129	98
170	129	98
171	130	97
172	131	96
173	131	95
174	132	94
175	133	93
176	133	92
177	134	92
178	134	91
179	135	90
180	136	89
181	136	88
182	137	87
183	137	86
184	138	86
185	139	85
186	139	84
187	140	83
188	140	82
189	141	81
190	141	81
191	143	80
192	144	80
193	145	79
194	146	78
195	146	77
196	147	77
197	148	76
198	149	75
199	149	74
200	150	74
201	151	73
202	151	72
203	152	71
204	153	70
205	153	70
206	154	69
207	154	68
208	155	67
209	156	67
210	157	66
211	158	65
212	158	64
213	159	64
214	160	63
215	160	62
216	161	61
217	162	61
218	163	60
219	163	59
220	164	58
221	165	58
222	165	57
223	166	56
224	167	55
225	168	55
226	168	54
227	169	53
228	170	52
229	170	51
230	171	51
231	172	50
232	172	49
233	173	48
234	174	48
235	174	47
236	175	46
237	176	45
238	177	45
239	178	44
240	180	44
241	181	43
242	182	42
243	183	42
244	184	41
245	185	40
246	185	39
247	186	39
248	187	38
249	188	37
250	188	36
251	189	36
252	192	35
253	195	35
254	197	34
255	198	34
256	201	33
257	202	33
258	203	32
259	204	31
260	205	30
261	206	29
262	207	29
263	208	28
264	210	27
265	212	27
266	215	26
267	217	25
268	218	25
269	220	24
270	222	23
271	223	23
272	225	22
273	227	21
274	228	20
275	229	19
276	231	19
277	231	18
278	232	17
279	233	16
280	234	15
281	234	14
282	235	14
283	236	13
284	236	12
285	237	11
286	238	10
287	238	9
288	239	9
289	240	8
290	241	7
291	242	6
292	242	5
293	243	4
294	244	4
295	244	3
296	245	2
297	246	1
298	246	0
299	247	0
